102.46, 47.85, 459.11, 199.24, 1120.63, 303.57, 1774.65, 718.85,
       210.70, 3044.55, 1390.15, 1258.25, 75.44, 2808.42, 1002.59, 908.81,
       727.38, 903.09, 554.35, 985.03, 1231.52, 903.31, 284.18, 640.73,
       986.17, 445.58, 332.95, 1425.52, 408.74, 1368.66, 553.94, 397.17,
       219.10, 1456.86, 3181.62, 1530.68, 1645.33, 388.80, 305.18, 672.06,
       1469.49, 1468.44, 449.19, 49.41, 942.88, 233.66, 1613.28, 1352.41,
       487.56, 934.40, 41.02, 221.17, 130.98, 56.18, 80.33, 2456.71,
       339.83, 1020.19, 230.95, 20.65, 1138.81, 135.35, 34.23, 411.84,
       326.58, 755.98, 614.83, 2903.24, 265.19, 953.15, 907.93, 3452.92,
       7.27, 371.74, 58.54, 297.67, 244.91, 97.29, 363.66, 292.57,
       1266.01, 1471.97, 474.96, 852.88, 823.84, 89.25, 587.98, 1906.59,
       468.73, 614.37, 714.49, 195.99, 2755.50, 6.88, 24.42, 387.36,
       101.25, 2911.90, 637.87, 2831.87, 4829.16, 1269.10, 192.37, 25.63,
       2877.54, 389.79, 733.69, 320.62, 255.37, 1328.31, 715.03, 255.96,
       21.21, 660.46, 420.05, 984.83, 681.29, 4103.36, 1735.76, 789.95,
       1450.22, 1275.98, 1107.66, 279.96, 498.13, 5038.43, 54.11, 2228.35,
       321.63, 293.34, 3893.91, 773.52, 684.77, 454.28, 43.21, 427.89,
       767.88, 67.13, 300.93, 16.24, 740.16, 557.66, 118.88, 496.41,
       918.48, 735.67, 362.87, 256.80, 2984.83, 156.06, 221.16, 854.16,
       509.61, 2823.77, 6.81, 1735.42, 271.43, 2066.98, 771.23, 1464.37,
       111.59, 66.04, 8096.57, 49.15, 318.11, 316.51, 474.51, 101.16,
       1980.68, 501.22, 201.77, 547.05, 147.16, 1547.35, 3507.83, 929.40,
       392.68, 1147.06, 751.71, 140.17, 374.50, 1399.21, 1492.50, 1024.85,
       708.87, 244.94, 910.39, 441.95, 124.90, 790.93, 1149.73, 445.48,
       27.18, 82.45, 342.05, 1076.62, 1047.60, 1310.68, 168.00, 534.03,
       2060.37, 534.62, 1370.92, 329.42, 1392.13, 300.38, 1183.99, 864.65,
       371.24, 742.26, 1491.67, 253.56, 1060.43, 2370.01, 1037.62, 424.79,
       2363.24, 561.99, 132.68, 229.95, 655.49, 938.34, 898.81, 2538.25,
       730.37, 1148.28, 2659.20, 1197.46, 534.09, 337.21, 1838.76, 737.00,
       397.51, 435.61, 1411.54, 260.61, 472.58, 327.76, 47.43, 520.57,
       400.71, 2028.57, 516.33, 3170.77, 649.52, 872.44, 2204.37, 454.26,
       1883.83, 2242.51, 221.73, 1202.78, 478.74, 1071.16, 1454.31,
       1243.99, 687.79, 846.15, 528.77, 133.50, 355.48, 1297.34, 736.68,
       3328.55, 477.31, 348.43, 71.68, 20.56, 1518.61, 181.32, 31.74,
       42.51, 680.51, 528.58, 54.28, 451.26, 149.26, 957.46, 40.74,
       304.18, 198.82, 893.10, 54.08, 1682.98, 968.13, 594.30, 1517.26,
       579.05, 1005.14, 916.93, 1579.75, 186.48, 60.60, 2588.55, 979.00,
       1369.82, 284.94, 994.25, 194.78, 220.95, 1253.28, 3479.44, 599.17,
       456.97, 179.66, 139.70, 1142.20, 2530.99, 768.58, 1658.75, 2978.04,
       121.64, 330.66, 31.68, 1246.94, 1282.52, 247.36, 233.83, 364.64,
       1694.69, 1657.41, 2709.38, 2142.12, 76.31, 1963.33, 2748.23,
       117.35, 423.63, 519.45, 1228.25, 92.80, 593.29, 324.12, 1987.45,
       254.15, 1962.23, 643.70, 2973.89, 648.87, 65.47, 112.40, 1317.95,
       1799.09, 81.24, 1270.72, 1547.60, 145.28, 799.40, 355.08, 1928.20,
       156.68, 3252.72, 477.33, 2714.96, 660.54, 491.82, 1178.83, 230.03,
       2045.34, 75.25, 580.48, 565.80, 1207.22, 1893.35, 90.66, 592.21,
       28.72, 173.84, 461.91, 1481.43, 1116.16, 449.82, 212.27, 72.54,
       993.19, 515.28, 878.27, 1349.54, 1156.18, 3418.61, 883.41, 1611.48,
       726.66, 801.47, 243.77, 542.64, 805.09, 1349.98, 115.11, 725.69,
       189.34, 843.78, 965.33, 901.62, 910.01, 78.95, 678.37, 1905.96,
       1190.80, 941.54, 2820.42, 543.37, 683.21, 3225.09, 807.04, 1095.31,
       401.91, 537.96, 1174.58, 1519.14, 1953.17, 879.23, 970.27, 1033.63,
       1413.31, 304.05, 147.05, 479.29, 1273.94, 1766.02, 1642.63, 55.12,
       1483.14, 379.94, 1750.34, 756.09, 734.20, 21.65, 147.70, 1712.69,
       2163.86, 159.93, 375.32, 633.39, 187.76, 419.12, 2144.82, 1449.84,
       2875.90, 833.19, 846.21, 439.79, 5.41, 379.86, 616.92, 1384.34,
       687.32, 655.29, 525.25, 1927.90, 89.28, 2102.49, 2128.20, 1516.32,
       147.10, 2586.50, 535.60, 257.62, 431.06, 44.87, 1518.21, 1881.20,
       2006.74, 1776.52, 3113.92, 1200.18, 1509.93, 2097.57, 1965.00,
       324.68, 319.01, 1001.73, 199.97, 2184.32, 1217.54, 2122.95,
       1321.66, 1478.72, 196.20, 1329.16, 188.47, 480.65, 794.76, 399.86,
       730.09, 96.52, 1.36, 1524.28, 18.88, 3304.01, 5164.37, 1003.18,
       3269.41, 1032.60, 564.80, 332.59, 204.10, 467.46, 145.72, 346.28
